ID,probability
0,0.01
1,0.01
2,0.1
3,0.04
4,0.43
5,0.07
6,0.22
7,0.17
8,0.26
9,0.0
10,0.04
11,0.48
12,0.35
13,0.47
14,0.21
15,0.0
16,0.2
17,0.59
18,0.53
19,0.61
20,0.16
21,0.36
22,0.41
23,0.3
24,0.06
25,0.0
26,0.07
27,0.6
28,0.11
29,0.02
30,0.75
31,0.16
32,0.16
33,0.05
34,0.55
35,0.0
36,0.29
37,0.22
38,0.31
39,0.01
40,0.21
41,0.55
42,0.09
43,0.66
44,0.38
45,0.59
46,0.58
47,0.45
48,0.0
49,0.52
50,0.18
51,0.46
52,0.13
53,0.5
54,0.0
55,0.33
56,0.0
57,0.24
58,0.14
59,0.15
60,0.0
61,0.09
62,0.22
63,0.27
64,0.32
65,0.08
66,0.23
67,0.09
68,0.2
69,0.37
70,0.6
71,0.1
72,0.08
73,0.08
74,0.01
75,0.58
76,0.0
77,0.0
78,0.13
79,0.1
80,0.37
81,0.0
82,0.1
83,0.08
84,0.59
85,0.31
86,0.0
87,0.37
88,0.08
89,0.16
90,0.43
91,0.0
92,0.19
93,0.43
94,0.0
95,0.0
96,0.41
97,0.13
98,0.33
99,0.26
100,0.06
101,0.37
102,0.13
103,0.61
104,0.18
105,0.58
106,0.48
107,0.0
108,0.36
109,0.0
110,0.39
111,0.31
112,0.0
113,0.03
114,0.04
115,0.28
116,0.0
117,0.25
118,0.53
119,0.16
120,0.0
121,0.0
122,0.58
123,0.48
124,0.26
125,0.09
126,0.02
127,0.08
128,0.08
129,0.23
130,0.31
131,0.87
132,0.0
133,0.04
134,0.44
135,0.0
136,0.21
137,0.06
138,0.01
139,0.16
140,0.0
141,0.0
142,0.26
143,0.0
144,0.1
145,0.32
146,0.09
147,0.49
148,0.21
149,0.36
150,0.0
151,0.01
152,0.21
153,0.15
154,0.07
155,0.35
156,0.52
157,0.25
158,0.55
159,0.64
160,0.67
161,0.76
162,0.16
163,0.0
164,0.4
165,0.19
166,0.42
167,0.49
168,0.09
169,0.41
170,0.23
171,0.17
172,0.17
173,0.31
174,0.06
175,0.26
176,0.42
177,0.16
178,0.42
179,0.11
180,0.72
181,0.51
182,0.39
183,0.55
184,0.06
185,0.14
186,0.44
187,0.1
188,0.18
189,0.37
190,0.49
191,0.19
192,0.15
193,0.07
194,0.74
195,0.58
196,0.38
197,0.45
198,0.06
199,0.26
200,0.53
201,0.49
202,0.44
203,0.24
204,0.0
205,0.24
206,0.0
207,0.16
208,0.09
209,0.2
210,0.34
211,0.03
212,0.03
213,0.06
214,0.41
215,0.15
216,0.55
217,0.31
218,0.62
219,0.44
220,0.65
221,0.51
222,0.32
223,0.02
224,0.0
225,0.19
226,0.19
227,0.28
228,0.0
229,0.04
230,0.34
231,0.83
232,0.16
233,0.57
234,0.58
235,0.52
236,0.42
237,0.0
238,0.0
239,0.22
240,0.55
241,0.37
242,0.03
243,0.16
244,0.0
245,0.45
246,0.54
247,0.11
248,0.98
249,0.54
250,0.23
251,0.01
252,0.51
253,0.0
254,0.23
255,0.69
256,0.3
257,0.49
258,0.39
259,0.67
260,0.0
261,0.0
262,0.0
263,0.53
264,0.27
