iter	Passed	Remaining
0	182	91260
1	208	51986
2	236	39126
3	262	32543
4	289	28697
5	318	26214
6	348	24534
7	376	23142
8	406	22157
9	435	21319
10	464	20664
11	496	20183
12	526	19709
13	556	19322
14	590	19083
15	620	18757
16	654	18599
17	684	18323
18	713	18054
19	743	17852
20	775	17691
21	808	17567
22	836	17356
23	866	17190
24	896	17039
25	925	16865
26	954	16717
27	984	16602
28	1015	16489
29	1041	16315
30	1069	16176
31	1099	16079
32	1127	15953
33	1157	15861
34	1186	15765
35	1219	15723
36	1251	15666
37	1286	15641
38	1319	15595
39	1351	15547
40	1386	15517
41	1416	15448
42	1446	15373
43	1479	15335
44	1513	15304
45	1546	15259
46	1574	15171
47	1604	15107
48	1636	15060
49	1663	14974
50	1691	14893
51	1719	14816
52	1750	14762
53	1780	14704
54	1811	14657
55	1844	14624
56	1876	14584
57	1907	14539
58	1937	14484
59	1966	14421
60	1997	14374
61	2027	14326
62	2057	14270
63	2087	14221
64	2117	14168
65	2147	14118
66	2176	14065
67	2205	14014
68	2237	13976
69	2267	13927
70	2297	13883
71	2330	13852
72	2363	13824
73	2395	13788
74	2424	13738
75	2455	13697
76	2487	13664
77	2515	13611
78	2547	13575
79	2577	13529
80	2606	13484
81	2635	13433
82	2664	13385
83	2694	13341
84	2723	13296
85	2753	13253
86	2782	13209
87	2813	13172
88	2843	13131
89	2872	13085
90	2902	13045
91	2932	13006
92	2961	12961
93	2990	12914
94	3020	12875
95	3049	12834
96	3078	12791
97	3106	12742
98	3134	12695
99	3164	12656
100	3192	12613
101	3222	12575
102	3252	12535
103	3283	12501
104	3313	12465
105	3344	12429
106	3373	12389
107	3403	12352
108	3431	12310
109	3461	12272
110	3489	12229
111	3518	12189
112	3547	12150
113	3577	12114
114	3607	12077
115	3636	12036
116	3665	11999
117	3692	11952
118	3721	11914
119	3749	11872
120	3777	11832
121	3807	11795
122	3836	11758
123	3868	11730
124	3897	11693
125	3927	11656
126	3956	11621
127	3986	11585
128	4015	11549
129	4043	11508
130	4072	11471
131	4102	11437
132	4133	11405
133	4163	11372
134	4193	11336
135	4221	11299
136	4250	11262
137	4281	11231
138	4314	11204
139	4348	11181
140	4379	11150
141	4408	11114
142	4439	11083
143	4470	11053
144	4500	11018
145	4528	10980
146	4558	10946
147	4589	10915
148	4620	10883
149	4648	10847
150	4679	10814
151	4709	10781
152	4736	10742
153	4766	10708
154	4795	10673
155	4824	10639
156	4854	10605
157	4882	10568
158	4911	10534
159	4944	10506
160	4973	10473
161	5005	10444
162	5039	10418
163	5068	10384
164	5097	10350
165	5126	10314
166	5156	10281
167	5186	10249
168	5217	10218
169	5247	10185
170	5275	10149
171	5306	10119
172	5338	10090
173	5368	10058
174	5396	10021
175	5427	9991
176	5457	9959
177	5487	9927
178	5516	9891
179	5546	9861
180	5576	9828
181	5606	9796
182	5635	9762
183	5663	9726
184	5692	9692
185	5720	9656
186	5749	9623
187	5778	9589
188	5809	9559
189	5839	9527
190	5870	9497
191	5899	9464
192	5928	9430
193	5958	9398
194	5987	9365
195	6017	9332
196	6048	9303
197	6077	9270
198	6107	9238
199	6140	9210
200	6169	9178
201	6201	9148
202	6233	9120
203	6265	9090
204	6298	9063
205	6329	9033
206	6362	9005
207	6395	8978
208	6427	8949
209	6459	8919
210	6491	8890
