ID,probability
TEST_00000,0.0013090763
TEST_00001,0.0023250012
TEST_00002,0.15427776
TEST_00003,0.113504656
TEST_00004,0.508353
TEST_00005,0.13021602
TEST_00006,0.4749434
TEST_00007,0.35978404
TEST_00008,0.26821756
TEST_00009,0.0009997055
TEST_00010,0.058194216
TEST_00011,0.4780082
TEST_00012,0.36679772
TEST_00013,0.4068995
TEST_00014,0.3254328
TEST_00015,0.0017841017
TEST_00016,0.23003957
TEST_00017,0.36534762
TEST_00018,0.20462164
TEST_00019,0.63999355
TEST_00020,0.26529992
TEST_00021,0.38760573
TEST_00022,0.29069683
TEST_00023,0.21137887
TEST_00024,0.40761915
TEST_00025,0.0015058238
TEST_00026,0.10561124
TEST_00027,0.44559446
TEST_00028,0.17312883
TEST_00029,0.17283332
TEST_00030,0.4502767
TEST_00031,0.16507493
TEST_00032,0.16390634
TEST_00033,0.18269683
TEST_00034,0.39000222
TEST_00035,0.0011611754
TEST_00036,0.14479254
TEST_00037,0.30859083
TEST_00038,0.19614483
TEST_00039,0.0054467143
TEST_00040,0.16798723
TEST_00041,0.13817172
TEST_00042,0.29833654
TEST_00043,0.29969004
TEST_00044,0.3043574
TEST_00045,0.5171732
TEST_00046,0.5232487
TEST_00047,0.23726837
TEST_00048,0.12968211
TEST_00049,0.3718199
TEST_00050,0.2701111
TEST_00051,0.1532319
TEST_00052,0.13351007
TEST_00053,0.57430047
TEST_00054,0.0017560942
TEST_00055,0.40318
TEST_00056,0.34992483
TEST_00057,0.22129555
TEST_00058,0.50536937
TEST_00059,0.19379179
TEST_00060,0.002303186
TEST_00061,0.17489932
TEST_00062,0.3438259
TEST_00063,0.32483312
TEST_00064,0.20536487
TEST_00065,0.0015749654
TEST_00066,0.2871912
TEST_00067,0.20315725
TEST_00068,0.296484
TEST_00069,0.48803574
TEST_00070,0.37948516
TEST_00071,0.36531612
TEST_00072,0.22488567
TEST_00073,0.23851085
TEST_00074,0.14147566
TEST_00075,0.22136587
TEST_00076,0.017145462
TEST_00077,0.0018109875
TEST_00078,0.12453876
TEST_00079,0.22233121
TEST_00080,0.3425211
TEST_00081,0.0012843736
TEST_00082,0.22576842
TEST_00083,0.169731
TEST_00084,0.41290697
TEST_00085,0.374554
TEST_00086,0.0010047667
TEST_00087,0.37228888
TEST_00088,0.13705336
TEST_00089,0.38079777
TEST_00090,0.23287126
TEST_00091,0.10807072
TEST_00092,0.3972725
TEST_00093,0.5623746
TEST_00094,0.0005267888
TEST_00095,0.0013593951
TEST_00096,0.45172483
TEST_00097,0.11420184
TEST_00098,0.3815792
TEST_00099,0.28856537
TEST_00100,0.11282166
TEST_00101,0.16680713
TEST_00102,0.3553335
TEST_00103,0.3178511
TEST_00104,0.36785868
TEST_00105,0.49131206
TEST_00106,0.26492095
TEST_00107,0.0013063723
TEST_00108,0.33862513
TEST_00109,0.0016028496
TEST_00110,0.39706132
TEST_00111,0.41233632
TEST_00112,0.018622525
TEST_00113,0.39864728
TEST_00114,0.1989906
TEST_00115,0.3788778
TEST_00116,0.0013852417
TEST_00117,0.45430598
TEST_00118,0.335407
TEST_00119,0.17394538
TEST_00120,0.001628352
TEST_00121,0.001220204
TEST_00122,0.33060926
TEST_00123,0.48408514
TEST_00124,0.38969627
TEST_00125,0.26962972
TEST_00126,0.0020275656
TEST_00127,0.06516981
TEST_00128,0.30249646
TEST_00129,0.3782619
TEST_00130,0.23070644
TEST_00131,0.38427323
TEST_00132,0.0015094962
TEST_00133,0.25490186
TEST_00134,0.38342205
TEST_00135,0.0012504084
TEST_00136,0.18183099
TEST_00137,0.26228592
TEST_00138,0.09479303
TEST_00139,0.26715025
TEST_00140,0.017195024
TEST_00141,0.001317658
TEST_00142,0.2967772
TEST_00143,0.001533001
TEST_00144,0.1266234
TEST_00145,0.5129123
TEST_00146,0.16481876
TEST_00147,0.2281465
TEST_00148,0.23028833
TEST_00149,0.39395046
TEST_00150,0.0014731508
TEST_00151,0.0007733341
TEST_00152,0.4048749
TEST_00153,0.29469043
TEST_00154,0.03043475
TEST_00155,0.22221379
TEST_00156,0.3521934
TEST_00157,0.36324802
TEST_00158,0.38502908
